fold,n_train,n_test,rmse,wilcoxon_p_vs_train_mean_baseline
1,6812,1703,6.4822181053266625,8.995018631963211e-23
2,6812,1703,5.980347695942815,0.641610527638368
3,6812,1703,6.1168418241186355,0.005943020430986913
4,6812,1703,5.389035162303414,2.4390234743786763e-06
5,6812,1703,5.940329497679943,9.813138817314084e-15
