fold,n_train,n_test,accuracy,f1,roc_auc,wilcoxon_p_vs_stratified_dummy
1,1668,418,0.5980861244019139,0.6199095022624435,0.657406764358636,0.003706233277080733
2,1669,417,0.4628297362110312,0.5927272727272728,0.49991147308781864,0.05217979545075903
3,1669,417,0.5539568345323741,0.5507246376811594,0.6002886002886002,0.028365379224370064
4,1669,417,0.580335731414868,0.7018739352640545,0.5258822872459237,0.9897942485580769
5,1669,417,0.5467625899280576,0.6413662239089184,0.5218014916810098,0.7475932976068528
