fold,n_train,n_test,accuracy,f1,roc_auc,wilcoxon_p_vs_stratified_dummy
1,1779,445,0.5573033707865168,0.6754530477759473,0.4802480717114863,0.5255516528137947
2,1779,445,0.5348314606741573,0.5083135391923991,0.5657036749147126,0.02643097377815262
3,1779,445,0.5640449438202247,0.6420664206642066,0.5493908607116154,0.07193340092146007
4,1779,445,0.6134831460674157,0.7171052631578947,0.6098733071210135,0.0012801767904217663
5,1780,444,0.5743243243243243,0.6070686070686071,0.5975443937087772,0.0055966304217935975
