fold,n_train,n_test,accuracy,f1,roc_auc,wilcoxon_p_vs_stratified_dummy
1,179,45,0.7333333333333333,0.7777777777777778,0.8793103448275862,0.41959121637792274
2,179,45,0.8666666666666667,0.875,0.9603174603174603,0.004854803359085832
3,179,45,0.8222222222222222,0.8260869565217391,0.9560000000000001,0.034293695466721494
4,179,45,0.8666666666666667,0.875,0.976,0.018588633295828223
5,180,44,0.8636363636363636,0.8571428571428571,0.9297520661157025,0.03269054802556554
