fold,n_train,n_test,accuracy,f1,roc_auc,wilcoxon_p_vs_stratified_dummy
1,6807,1702,0.5616921269095182,0.5098554533508541,0.5862738851248505,0.010859725713979676
2,6807,1702,0.5352526439482961,0.5226312613156306,0.5562336045529322,0.16654299070937018
3,6807,1702,0.6304347826086957,0.5886200130804448,0.6708810139042697,6.067615434803878e-11
4,6807,1702,0.6110458284371327,0.5146627565982405,0.6397741559684879,1.2500947243113635e-07
5,6808,1701,0.6149323927101705,0.546084546084546,0.6441047403749979,0.0002304670552263758
