fold,n_train,n_test,accuracy,f1,roc_auc,wilcoxon_p_vs_stratified_dummy
1,1779,445,0.5887640449438202,0.6975206611570248,0.5447415051073587,0.12519374558181365
2,1779,445,0.5056179775280899,0.4883720930232558,0.5405061104633588,0.18144920772142048
3,1779,445,0.550561797752809,0.6268656716417911,0.5612877688349387,0.18663767893783234
4,1779,445,0.5842696629213483,0.6890756302521008,0.5575305810397554,0.022493438626542003
5,1780,444,0.5157657657657657,0.5725646123260437,0.5308980213089802,0.3063118603884619
