fold,n_train,n_test,accuracy,f1,roc_auc,wilcoxon_p_vs_stratified_dummy
1,179,45,0.9555555555555556,0.9666666666666667,1.0,0.1153138374035721
2,179,45,0.8666666666666667,0.85,0.9563492063492064,0.005778895243084495
3,179,45,0.9555555555555556,0.9583333333333334,1.0,0.014078367721198406
4,179,45,1.0,1.0,1.0,0.014077601840695753
5,180,44,0.8636363636363636,0.8695652173913043,0.9421487603305785,0.024285815792189684
