fold,n_train,n_test,accuracy,f1,roc_auc,wilcoxon_p_vs_stratified_dummy
1,1668,418,0.5358851674641149,0.5800865800865801,0.57101187582471,0.18898084168097629
2,1669,417,0.460431654676259,0.5886654478976234,0.4488314447592068,0.012137474701557297
3,1669,417,0.5491606714628298,0.5458937198067633,0.5738723641949448,0.09992595177757009
4,1669,417,0.6019184652278178,0.7118055555555556,0.5624581192763011,0.7599309909258553
5,1669,417,0.48201438848920863,0.562753036437247,0.46545706636068085,0.41032775439291713
