fold,n_train,n_test,accuracy,f1,roc_auc,wilcoxon_p_vs_stratified_dummy
1,1668,418,0.5430622009569378,0.5802197802197803,0.5892538833715304,0.09128017581218907
2,1669,417,0.5155875299760192,0.6564625850340136,0.4865881728045326,0.3412812730829474
3,1669,417,0.5587529976019184,0.5660377358490566,0.5523437136340362,0.22379381836672962
4,1669,417,0.6019184652278178,0.7195945945945946,0.4908700022336386,0.6558376079908946
5,1669,417,0.5275779376498801,0.6144814090019569,0.5121199082042456,0.8954863761448191
