fold,n_train,n_test,accuracy,f1,roc_auc,wilcoxon_p_vs_stratified_dummy
1,1779,445,0.5550561797752809,0.6514084507042254,0.5472951844903065,0.5962416305866567
2,1779,445,0.5056179775280899,0.4270833333333333,0.5021807660750529,0.1794948183730305
3,1779,445,0.5820224719101124,0.6678571428571428,0.5927123191274135,0.027116029064118512
4,1779,445,0.5775280898876405,0.6928104575163399,0.5062527304499781,0.0396340936573424
5,1780,444,0.5563063063063063,0.6067864271457086,0.6035920852359208,0.02780689502699719
