fold,n_train,n_test,accuracy,f1,roc_auc,wilcoxon_p_vs_stratified_dummy
1,91,47,0.3404255319148936,0.20512820512820512,0.3618181818181818,0.13292234280140877
2,105,33,0.5151515151515151,0.68,0.3345864661654135,0.3764748873654753
3,120,18,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.30379486083984375
4,120,18,0.05555555555555555,0.0,0.05882352941176472,0.08142852783203125
5,116,22,0.2727272727272727,0.42857142857142855,,0.6556386947631836
