fold,n_train,n_test,accuracy,f1,roc_auc,wilcoxon_p_vs_stratified_dummy
1,91,47,0.48936170212765956,0.4782608695652174,0.5236363636363636,0.7913516588076837
2,105,33,0.42424242424242425,0.3870967741935484,0.48496240601503754,0.38616096158511937
3,120,18,0.5555555555555556,0.3333333333333333,0.5111111111111111,0.468292236328125
4,120,18,0.2777777777777778,0.13333333333333333,0.9411764705882353,0.30379486083984375
5,116,22,0.5,0.6666666666666666,,0.4060330390930176
