fold,n_train,n_test,accuracy,f1,roc_auc,wilcoxon_p_vs_stratified_dummy
1,6807,1702,0.5252643948296122,0.5114873035066505,0.5439089834264313,0.6227060534039333
2,6807,1702,0.5575793184488836,0.5325884543761639,0.5902916722244453,0.007149631410733021
3,6807,1702,0.5975323149236192,0.5560596241088788,0.6225754219940266,1.4504954254428646e-06
4,6807,1702,0.5898942420681551,0.5049645390070922,0.6015880018916456,0.00018218144816370828
5,6808,1701,0.5714285714285714,0.4833451452870305,0.596969837130914,0.016371870866620196
