fold,n_train,n_test,accuracy,f1,roc_auc
1,179,45,0.7333333333333333,0.7931034482758621,0.814655172413793
2,179,45,0.6444444444444445,0.68,0.7817460317460317
3,179,45,0.5333333333333333,0.5333333333333333,0.736
4,179,45,0.6666666666666666,0.7272727272727273,0.8
5,180,44,0.6818181818181818,0.6956521739130435,0.7148760330578512
