fold,n_train,n_test,rmse,wilcoxon_p_vs_train_mean_baseline
1,6812,1703,7.01651122777843,0.44066757707500126
2,6812,1703,7.5965322716166135,9.587491854543069e-29
3,6812,1703,7.042790974261224,6.953877005008627e-06
4,6812,1703,6.029511061350138,0.02795209764031177
5,6812,1703,6.903548770570229,2.727379778696583e-06
