model,group,n,n_depressed,n_control,accuracy,f1,roc_auc
RADAR MERF-GBR,gender_0,433,119,314,0.7274826789838337,0.10606060606060606,0.6930364502488894
RADAR MERF-GBR,gender_1,1512,548,964,0.6395502645502645,0.05545927209705372,0.5405813671744859
Androids MERF-GBR,female,35,15,20,0.5714285714285714,0.0,0.40666666666666673
Androids MERF-GBR,male,8,4,4,0.5,0.0,1.0
