model,group,n,n_depressed,n_control,accuracy,f1,roc_auc
RADAR MERF-GBR,middle,527,207,320,0.6129032258064516,0.07272727272727272,0.6806461352657005
RADAR MERF-GBR,older,789,140,649,0.8200253485424588,0.06578947368421052,0.5078857583094871
RADAR MERF-GBR,young,629,320,309,0.4960254372019078,0.05934718100890208,0.5755562297734628
Androids MERF-GBR,middle,25,13,12,0.48,0.0,0.5
Androids MERF-GBR,older,14,4,10,0.7142857142857143,0.0,1.0
Androids MERF-GBR,young,4,2,2,0.5,0.0,0.0
