model,subset,n_rows,n_depressed,n_control,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
RADAR MERF-GBR,cv_train,6570,2945,3625,5.0676473352008955,0.5099003208585409,6.0798762583394845,0.5661029709140578,-0.039783967091907256,0.03475592905621767,0.5549467275494673,0.07898538866225932,0.10416953115271273,0.0710420456084522,0.568784475987616,0.049936876701534974
Androids MERF-GBR,cv_train,166,88,78,11.814580448218754,,15.052653336802347,,-0.09204757784977342,,0.5055258467023174,,0.11428571428571428,,0.6718042655658756,
