fold,n_rows,mean_phq8,median_phq8
1,1314,10.753424657534246,10.0
2,1314,7.901065449010654,7.0
3,1314,9.326484018264841,9.0
4,1314,10.206240487062406,10.0
5,1314,8.254185692541856,7.0
