fold,accuracy,f1,roc_auc
1,0.549618320610687,0.29308755760368665,0.4986921310354763
2,0.5337639459776864,0.3534201954397394,0.4826199021659299
3,0.5684086905460951,0.35127978817299205,0.5364421015560146
4,0.5936582501467997,0.32684824902723736,0.5379826413187719
5,0.5942454492072813,0.3511737089201878,0.5493669795883214
