fold,mae,rmse,r2,accuracy,f1,roc_auc
1,5.6791076195935695,6.678883905553478,-0.03527632263548308,0.5684086905460951,0.3546971027216857,0.5341754917220086
2,4.922507745859571,6.130742058996949,-0.05572851362585207,0.5302407516147974,0.3464052287581699,0.4984022282887352
3,5.17160891503814,6.257673759615384,-0.0433406379293646,0.5549031121550205,0.3431542461005199,0.5281589164078899
4,4.496937947752715,5.408797418908033,-0.013322887078899281,0.6001174398120963,0.3343108504398827,0.549999854811967
5,4.9387639678243795,6.050745891988667,-0.022011277509745852,0.5936582501467997,0.37992831541218636,0.5510220193494675
