fold,accuracy,f1,roc_auc,wilcoxon_p_vs_stratified_dummy
1,0.5852359208523592,0.45226130653266333,0.5978144271491195,1.8124109361171887e-05
2,0.6027397260273972,0.3475,0.5151428856914468,0.036826300511425394
3,0.556316590563166,0.37244348762109797,0.5254841557519478,0.3598637787216129
4,0.530441400304414,0.32861806311207836,0.5972816561317148,0.004847470096408175
5,0.6232876712328768,0.30962343096234307,0.5765842343465483,0.0003213565963362911
