fold,accuracy,f1,roc_auc,logloss
1,0.5766294773928362,0.12817412333736397,0.5632148436065546,0.6826371395470531
2,0.5490311215502055,0.102803738317757,0.5354690076632069,0.6883787755308801
3,0.5648854961832062,0.10399032648125756,0.5919850016630657,0.6842943729119205
4,0.6142102172636523,0.1012311901504788,0.523004317892102,0.6803846286003226
5,0.5907222548443922,0.054274084124830396,0.5627049062670457,0.6832995904947708
