fold,accuracy,f1,roc_auc,wilcoxon_p_gbc_vs_gpboost
1,0.5190258751902588,0.2834467120181406,0.5634624136265696,1.2891651054330483e-11
2,0.60882800608828,0.196875,0.4999013289368505,2.4579719016246236e-07
3,0.54337899543379,0.15254237288135594,0.4955216176827787,0.014789907622782301
4,0.4961948249619482,0.22482435597189696,0.5380062370643843,0.0008833364173447141
5,0.6613394216133942,0.31643625192012287,0.559979398216359,6.32788546121646e-10
