fold,n_train,n_test,rmse,wilcoxon_p_vs_train_mean_baseline
1,167,42,21.439108348469805,2.302266127188354e-05
2,167,42,16.282437070899647,0.9650863012145275
3,167,42,10.566532204961167,0.0013968043307175915
4,167,42,14.373497293258644,0.010927993644709203
5,168,41,15.156822143776779,0.07059551238762407
