model,group,n,n_depressed,n_control,accuracy,f1,roc_auc
RADAR FT-Transformer,middle female,213,90,123,0.6197183098591549,0.49056603773584906,0.7160794941282747
RADAR FT-Transformer,middle male,314,117,197,0.6369426751592356,0.2191780821917808,0.6026291813093843
RADAR FT-Transformer,older female,166,6,160,0.6445783132530121,0.06349206349206349,0.41770833333333335
RADAR FT-Transformer,older male,623,134,489,0.7431781701444623,0.1919191919191919,0.5022052315111558
RADAR FT-Transformer,young female,54,23,31,0.6111111111111112,0.3225806451612903,0.4992987377279102
RADAR FT-Transformer,young male,575,297,278,0.4956521739130435,0.17613636363636365,0.5308541045951118
