model,group,n,n_depressed,n_control,accuracy,f1,roc_auc
RADAR MERF-SVR,gender_0,433,119,314,0.7251732101616628,0.0,0.6830273510678155
RADAR MERF-SVR,gender_1,1512,548,964,0.6375661375661376,0.0,0.5109526910379502
Androids MERF-SVR,female,35,15,20,0.5714285714285714,0.0,0.7133333333333334
Androids MERF-SVR,male,8,4,4,0.5,0.0,1.0
