model,subset,n_rows,n_depressed,n_control,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
RADAR MERF-SVR,cv_train,6570,2945,3625,5.754027908756752,1.0788502070736259,7.2768311962122185,1.2887046615749682,-0.492254360303209,0.3302280587889942,0.5517503805175037,0.08495687089552764,0.0,0.0,0.5500674089104864,0.055920975992728675
Androids MERF-SVR,cv_train,166,88,78,11.66257432200268,,14.627982080413855,,-0.04610055699259976,,0.48128342245989303,,0.042105263157894736,,0.6934249840286992,
