model,group,n,n_depressed,n_control,accuracy,f1,roc_auc
RADAR MERF-SVR,middle,527,207,320,0.6072106261859582,0.0,0.5381038647342995
RADAR MERF-SVR,older,789,140,649,0.8225602027883396,0.0,0.5476667400396215
RADAR MERF-SVR,young,629,320,309,0.4912559618441971,0.0,0.5415655339805825
Androids MERF-SVR,middle,25,13,12,0.48,0.0,0.7435897435897436
Androids MERF-SVR,older,14,4,10,0.7142857142857143,0.0,1.0
Androids MERF-SVR,young,4,2,2,0.5,0.0,1.0
