fold,accuracy,f1,roc_auc,wilcoxon_p_gbc_vs_gpboost
1,0.5190258751902588,0.2834467120181406,0.5634624136265696,1.2422564138005643e-10
2,0.60882800608828,0.196875,0.4999013289368505,9.015779991358117e-10
3,0.54337899543379,0.15254237288135594,0.4955216176827787,5.303220587573757e-05
4,0.4961948249619482,0.22482435597189696,0.5380062370643843,0.0015112055603099684
5,0.6613394216133942,0.31643625192012287,0.559979398216359,2.6405292634055267e-14
