fold,accuracy,f1,roc_auc
1,0.576103500761035,0.4940962761126249,0.610421000817297
2,0.5722983257229832,0.3824175824175824,0.5258568145483613
3,0.5388127853881278,0.42395437262357416,0.52174146596663
4,0.5334855403348554,0.42549203373945643,0.5729615334414797
5,0.5928462709284628,0.4022346368715084,0.5631867785912712
