fold,mae,rmse,r2,accuracy,f1,roc_auc,wilcoxon_p_vs_train_mean_baseline
1,5.5306030653474805,6.750155774819557,0.005584318622966933,0.576103500761035,0.4042780748663102,0.6196121089976967,1.0559252370662983e-10
2,5.2306606969064635,6.039695118772839,-0.08147003256204233,0.5806697108066972,0.3585564610011641,0.5211493305355716,0.023064392917008823
3,5.277959371363831,6.32448985791043,-0.013263180207895298,0.573820395738204,0.38596491228070173,0.5464373797201099,0.590487356726776
4,4.573768382627154,5.642313331312016,0.012627705767331743,0.54337899543379,0.3697478991596639,0.6021261024407525,7.664922336992843e-05
5,4.387154449818192,5.40263668497605,-0.04411728911842694,0.6133942161339422,0.3021978021978022,0.5690424200295677,9.622327977360464e-07
