dataset,category,model,display_name,selection_metric,selection_value
RADAR,classifier,RADAR SVC,Support Vector Classifier,roc_auc_mean,0.5839509786442395
RADAR,regressor,RADAR SVR,Support Vector Regressor,mae_mean,4.953496953300912
RADAR,gpboost,RADAR GPBoost,GPBoost,roc_auc_mean,0.5209607637495807
Androids,classifier,Androids SVC,Support Vector Classifier,roc_auc_mean,0.8127220573544103
Androids,regressor,Androids SVR,Support Vector Regressor,mae_mean,11.69888542925115
Androids,gpboost,Androids GPBoost,GPBoost,roc_auc_mean,0.5714285714285714
