model,group,n,n_depressed,n_control,accuracy,f1,roc_auc
RADAR MERF-RF,middle,527,207,320,0.6242884250474383,0.2826086956521739,0.6392964975845411
RADAR MERF-RF,older,789,140,649,0.7921419518377694,0.14583333333333334,0.4756988773937927
RADAR MERF-RF,young,629,320,309,0.5151033386327504,0.14084507042253522,0.572754854368932
Androids MERF-RF,middle,25,13,12,0.48,0.0,0.6153846153846154
Androids MERF-RF,older,14,4,10,0.7142857142857143,0.0,0.9
Androids MERF-RF,young,4,2,2,0.5,0.0,0.0
