model,subset,n_rows,n_depressed,n_control,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
RADAR MERF-RF,cv_train,6570,2945,3625,5.023973114479874,0.5063740939087229,6.0432022065210065,0.5686996213644513,-0.026855893741760582,0.022825809486541688,0.5646879756468797,0.06848680843289837,0.16725363263620063,0.048513754035838144,0.5753286458074933,0.05690658470986847
Androids MERF-RF,cv_train,166,88,78,11.772583685563594,,14.753092344102248,,-0.056873345047575664,,0.49340463458110523,,0.08020050125313283,,0.6976328075089686,
