model,group,n,n_depressed,n_control,accuracy,f1,roc_auc
RADAR MERF-RF,gender_0,433,119,314,0.6928406466512702,0.3926940639269406,0.6597441524380452
RADAR MERF-RF,gender_1,1512,548,964,0.6468253968253969,0.11589403973509933,0.535154238725505
Androids MERF-RF,female,35,15,20,0.5714285714285714,0.0,0.5466666666666666
Androids MERF-RF,male,8,4,4,0.5,0.0,1.0
