subset,n_rows,n_depressed,n_control,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
all,8515,3612,4903,0.5537287140340574,0.02890546646229203,0.3480341474416033,0.022701575001332776,0.5205843971070896,0.032321197262513535
unscripted,3965,1652,2313,0.5957124842370745,0.030155329488292804,0.41731278875671834,0.031841921290506246,0.5865398308210084,0.019585186541589424
scripted,4550,1960,2590,0.5520879120879121,0.02311979272925034,0.3389462985133464,0.03625465724525873,0.5285961683360284,0.039485578737131835
