fold,n_train,n_test,best_params,accuracy,f1,roc_auc
1,6812,1703,"{'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.5918966529653552,0.1213653603034134,0.549235758210903
2,6812,1703,"{'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.5525543159130946,0.19957983193277312,0.4810477668611338
3,6812,1703,"{'svm__C': 0.1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5848502642395772,0.20650953984287318,0.5488515064021041
4,6812,1703,"{'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.6095126247798004,0.15070242656449553,0.5491606679811023
5,6812,1703,"{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.6106870229007634,0.2422857142857143,0.5815182441937243
