fold,n_train,n_test,accuracy,f1,roc_auc,wilcoxon_p_vs_stratified_dummy
1,6812,1703,0.5584263065179096,0.29850746268656714,0.5100448856108991,0.01757085058005822
2,6812,1703,0.5372871403405755,0.3433333333333333,0.49830799717306656,0.9800712392955155
3,6812,1703,0.5736934820904287,0.3339449541284404,0.5553493416216428,0.0422916207806747
4,6812,1703,0.6036406341749854,0.31749241658240646,0.5666384033962385,2.265862393139918e-06
5,6812,1703,0.623018203170875,0.3742690058479532,0.5727155283782621,0.0023367495556488095
