fold,accuracy,f1,roc_auc,wilcoxon_p_vs_stratified_dummy
1,0.4444444444444444,0.5,0.5324675324675324,0.25792107092559224
2,0.6111111111111112,0.6956521739130435,0.75,0.6599681173524772
3,0.8333333333333334,0.8235294117647058,0.8625,0.09579751577113584
4,0.6388888888888888,0.7450980392156863,0.5153846153846153,0.5931855417950128
5,0.45714285714285713,0.5581395348837209,0.6535947712418301,0.908704133280279
