fold,accuracy,f1,roc_auc,wilcoxon_p_gbc_vs_gpboost
1,0.5675675675675675,0.68,0.7053571428571429,8.459887723161964e-05
2,0.5,0.64,0.512987012987013,0.006249418538184488
3,0.6111111111111112,0.72,0.7312500000000001,0.0006128635341729392
4,0.6111111111111112,0.6956521739130435,0.6790123456790123,0.0015013745353284489
5,0.5555555555555556,0.6363636363636364,0.6812499999999999,0.001206971473169062
