subset,n_rows,n_depressed,n_control,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
all,224,122,102,0.8796427367711492,0.05315056166613475,0.8874538952230406,0.03746207632560868,0.9349030827186542,0.026798059601118987
interview,115,64,51,0.65332674571805,0.11643533141880336,0.6987028838521916,0.09765237783153109,0.7650990675990675,0.10591602870793959
read,109,58,51,0.6544664031620553,0.09433861070291355,0.6651699178014967,0.11649530638201161,0.7983283383283384,0.10682348671346399
