fold,n_train,n_test,rmse,wilcoxon_p_vs_train_mean_baseline
1,167,42,25.72905334458247,1.0412247143742676e-06
2,167,42,15.27756361041632,0.078896445901187
3,167,42,11.177138345129947,0.006777728975041459
4,167,42,14.648677549855417,0.01132566120459919
5,168,41,16.584572287332072,0.5467148009637708
